MQ2,MQ6,MQ7,MQ9,target
2.87,0.89,0.02,1.19,0
1.37,5.08,0.01,4.74,0
0.48,1.02,0.01,3.28,0
1.23,0.14,0.0,0.89,0
2.52,2.52,0.02,1.47,0
1.44,4.37,0.03,3.99,0
4.06,0.73,0.01,0.23,0
1.43,5.31,0.01,4.74,0
1.02,2.53,0.0,3.01,0
0.33,1.76,0.095693575,3.56,0
2.59,0.64,0.02,1.19,0
1.3,0.24,0.01,0.46,0
1.67,0.14,0.0,0.89,0
0.98,5.9,0.01,4.96,0
3.84,0.58,0.0,1.51,0
2.97,2.11,0.24,0.46,0
0.84,3.88,0.08,4.96,0
0.35,1.95,0.0,3.28,0
1.02,3.64,0.01,3.99,0
6.84,1.53,0.02,3.88,0
1.89,4.13,0.06,3.99,0
1.73,3.13,0.01,3.28,0
1.36,3.64,0.01,3.99,0
1.28,4.87,0.17,5.3,0
4.0,2.36,0.02,1.01,0
1.76,4.19,0.01,4.14,0
1.23,0.14,0.0,0.89,0
1.93,4.62,0.06,3.99,0
0.39,0.85,0.0,3.01,0
4.6,0.76,0.0,1.51,0
0.54,1.76,0.015178656,3.56,0
1.79,3.97,0.01,3.28,0
0.23,2.14,0.0,3.28,0
3.68,0.58,0.0,1.51,0
0.63,0.09,0.0,0.89,0
1.56,4.62,0.02,4.96,0
2.78,0.64,0.02,1.19,0
0.61,0.85,0.02,6.01,0
1.33,7.16,0.02,0.89,0
1.89,4.19,0.01,4.14,0
2.16,0.39,0.03,4.31,0
5.68,1.78,0.0,2.15,0
3.9,0.67,0.01,0.23,0
1.2,4.13,0.06,3.99,0
7.49,0.16,0.02,4.17,0
1.72,5.38,0.05,4.96,0
0.7,3.64,0.1,4.96,0
1.68,4.37,0.06,3.99,0
0.16,0.0,0.01,1.01,0
1.6,4.87,0.04,5.3,0
1.7,1.59,0.01,0.95,0
0.7,3.17,0.01,3.99,0
3.84,1.52,0.02,1.51,0
0.76,4.62,0.042826334,4.63,0
1.29,2.93,0.0,3.01,0
1.13,6.44,0.01,4.96,0
4.84,0.89,0.0,1.51,0
1.52,4.87,0.03,5.3,0
2.33,6.65,0.02,1.27,0
1.05,4.62,0.02,4.96,0
1.15,0.14,0.0,0.89,0
0.49,2.72,0.0,3.69,0
1.18,2.67,0.17,5.53,0
1.87,2.63,0.0,0.58,0
1.15,2.33,0.02,3.56,0
1.26,0.14,0.0,0.89,0
4.1,2.61,0.35,0.46,0
0.56,2.73,0.01,3.56,0
0.87,1.76,0.0,3.56,0
3.13,4.62,0.05,3.99,0
0.35,0.85,0.0,3.01,0
0.68,2.73,0.01,3.28,0
5.23,1.02,0.0,1.51,0
1.71,0.19,0.0,0.89,0
0.84,6.71,0.01,4.96,0
0.94,6.71,0.01,4.96,0
2.2,0.58,0.01,1.19,0
